Part,ElementID,vonMises_Pa,Sxx_Pa,Syy_Pa,Szz_Pa,Sxy_Pa,Syz_Pa,Szx_Pa
PART_001_R158G218B229A255,15112,-1057465.0,-3612.534,122279.8,377789.8,-29749.85,106344.5,1312967.5792678897
PART_001_R158G218B229A255,15113,-945036.4,-18082.95,59081.39,409040.7,3979.193,101490.4,1212277.226376564
PART_000_R31G119B180A255,15114,-863498.8,-54500.82,13093.95,375922.2,-30811.24,38998.8,1070090.6667464448
PART_000_R31G119B180A255,15115,-849951.3,-11388.07,144089.1,116141.4,-22811.83,-202122.9,1011102.1176046748
PART_001_R158G218B229A255,15116,-1299083.0,19486.66,236394.8,122491.8,10942.74,-263437.2,1524878.0314474893
PART_001_R158G218B229A255,15117,-1540395.0,-13195.48,203277.5,139761.4,33171.57,-107843.0,1675287.288799433
PART_001_R158G218B229A255,15118,-1532961.0,2186.906,233744.3,141423.8,5522.672,-78691.05,1686547.7123158595
PART_001_R158G218B229A255,15119,-1606135.0,-6269.679,262425.7,133673.1,9772.142,-31883.35,1765951.384410041
PART_001_R158G218B229A255,15120,-1612692.0,-2655.681,271022.5,137661.9,-1147.56,25837.7,1779496.4493988054
PART_001_R158G218B229A255,15121,-1582469.0,-2770.55,257398.3,131448.3,-1312.704,87213.8,1746076.524540483
PART_001_R158G218B229A255,15122,-1524290.0,-5989.251,214038.9,139169.1,-8637.244,125909.0,1671408.2709170736
PART_001_R158G218B229A255,15123,-1420241.0,3056.724,185410.1,123351.4,-7127.837,183207.2,1570052.8864114704
PART_001_R158G218B229A255,15124,-1228602.0,-9831.515,83274.87,141462.6,12496.92,192777.6,1333993.5299123344
PART_001_R158G218B229A255,15125,-1118429.0,-20446.29,-1158.584,119085.7,-14235.01,68649.29,1133316.3319128214
PART_000_R31G119B180A255,15126,320638.3,-49813.06,-8570.87,120340.0,157972.5,167046.6,570685.2738334829
PART_000_R31G119B180A255,15127,1106659.0,35017.9,-95813.57,158024.0,133802.7,171469.7,1233922.897324273
PART_000_R31G119B180A255,15128,1063251.0,1706.882,-212651.9,178915.7,19819.68,91906.83,1234069.8701945483
PART_000_R31G119B180A255,15129,1148497.0,9479.031,-290259.9,148852.3,30779.95,80156.61,1348036.302505134
PART_000_R31G119B180A255,15130,1179193.0,4793.207,-324323.0,163589.0,13264.82,3860.067,1398178.4601208407
PART_000_R31G119B180A255,15131,1162143.0,7167.113,-323750.9,159180.3,2999.049,-25267.33,1379723.0725668203
PART_000_R31G119B180A255,15132,1178352.0,7898.811,-324169.5,159515.2,-17477.66,-66416.61,1399780.570492561
PART_000_R31G119B180A255,15133,1121175.0,2165.312,-290665.1,146141.1,-20158.97,-135448.3,1336391.387827556
PART_000_R31G119B180A255,15134,1062667.0,16883.05,-200534.9,150899.0,-33828.53,-166298.2,1234105.645603451
PART_000_R31G119B180A255,15135,895431.9,-13752.18,-158599.4,118343.7,-33686.68,-216939.5,1079767.3388844097
PART_000_R31G119B180A255,15136,632352.6,13925.88,-83473.84,109299.5,19332.74,-141308.6,740970.7624089549
PART_000_R31G119B180A255,15137,388123.2,-167921.4,-85068.08,220352.1,207941.5,108099.7,761853.6015904633
PART_000_R31G119B180A255,15138,712470.8,26405.72,-98699.94,492270.8,266132.0,121800.3,1247454.8608691157
PART_000_R31G119B180A255,15139,806994.9,25416.01,-110268.4,487717.0,88444.97,44822.61,1215903.8796271374
PART_000_R31G119B180A255,15140,826836.1,-3419.243,-187384.8,453449.5,76427.56,45276.79,1231433.5034589209
PART_000_R31G119B180A255,15141,869652.5,9642.758,-210546.5,469839.9,42071.26,-797.9844,1282585.4554861244
PART_000_R31G119B180A255,15142,854770.1,5311.762,-211897.9,466429.0,3837.456,-17265.83,1267626.3663751085
PART_000_R31G119B180A255,15143,864201.7,6917.342,-213697.5,461920.0,-42731.1,-38239.65,1273857.1130976174
PART_000_R31G119B180A255,15144,827100.7,2588.263,-192780.1,435764.7,-61353.5,-74124.04,1215122.0918992439
PART_000_R31G119B180A255,15145,783318.7,11977.21,-144703.5,441576.2,-90440.97,-94019.21,1173199.4865823959
PART_000_R31G119B180A255,15146,669943.6,-14646.84,-105442.5,352048.2,-94860.19,-115520.9,988893.4070790329
PART_000_R31G119B180A255,15147,483065.8,39886.59,-45256.68,368143.7,23688.39,-66722.64,814260.043729943
PART_000_R31G119B180A255,15148,141201.1,-219443.0,-28746.45,353280.8,292160.7,72416.28,862486.9292026184
PART_000_R31G119B180A255,15149,507120.4,-9630.396,-77097.3,762209.8,322179.9,69808.52,1541219.4634709086
PART_000_R31G119B180A255,15150,555684.6,33947.65,-78053.3,740852.3,130748.0,22569.33,1429191.4936684044
PART_000_R31G119B180A255,15151,584629.1,4666.351,-111245.6,699853.7,123125.0,23657.34,1390525.4023748985
PART_000_R31G119B180A255,15152,608829.9,13279.99,-134146.4,721662.6,56769.4,-370.1637,1426980.532163778
PART_000_R31G119B180A255,15153,605523.5,11935.12,-134439.1,714534.0,8721.567,-11362.85,1411719.0460627675
PART_000_R31G119B180A255,15154,607212.7,10945.31,-137261.6,709315.7,-63063.9,-22673.03,1410223.6305182478
PART_000_R31G119B180A255,15155,585541.7,8692.869,-122762.8,674418.4,-90156.47,-42510.83,1349144.8512874392
PART_000_R31G119B180A255,15156,549117.5,7098.951,-97860.75,687300.2,-137450.9,-53840.47,1358016.9675875118
PART_000_R31G119B180A255,15157,468531.0,-2002.203,-64673.06,568011.0,-152247.7,-71088.22,1143427.3175058805
PART_000_R31G119B180A255,15158,335604.9,41811.84,-21802.32,627768.9,14231.74,-42428.63,1139008.3804807332
PART_000_R31G119B180A255,15159,65118.91,-135138.6,19664.73,450200.0,399344.4,32453.82,1059572.7122839838
PART_000_R31G119B180A255,15160,351519.5,-7282.551,-14066.91,961816.0,431559.9,39946.05,1862795.785215493
PART_000_R31G119B180A255,15161,342628.5,31965.9,-58019.39,937104.8,141502.6,21237.65,1681809.1321283358
PART_000_R31G119B180A255,15162,379095.9,30532.71,-69872.61,879191.5,150739.1,12734.28,1598174.4334783936
PART_000_R31G119B180A255,15163,386094.7,28499.53,-77193.81,910275.1,70174.5,-775.4908,1636281.844353709
PART_000_R31G119B180A255,15164,389404.5,29860.1,-81928.22,896729.2,9540.418,-5740.58,1610808.2953604888
